word,value
feeling,1
good,3
feeling,1
good,3
free,1
feeling,1
good,3
fun,4
peace,2
bold,2
freedom,2
feeling,1
good,3
feeling,1
good,3
good,3
good,3
care,2
care,2
cares,2
care,2
care,2
smile,2
care,2
cares,2
care,2
care,2
cares,2
care,2
care,2
care,2
smile,2
wrong,-2
cares,2
cares,2
cares,2
better,2
stop,-1
better,2
no,-1
love,3
love,3
love,3
love,3
care,2
want,1
better,2
yeah,1
wish,1
free,1
wish,1
wish,1
clear,1
wish,1
share,1
love,3
wish,1
agree,1
free,1
wish,1
wish,1
like,2
longing,-1
wish,1
wish,1
like,2
sweet,2
yeah,1
yeah,1
free,1
yeah,1
yeah,1
yes,1
free,1
no,-1
no,-1
no,-1
please,1
hide,-1
please,1
hide,-1
please,1
hide,-1
cried,-2
hide,-1
cried,-2
hide,-1
cried,-2
hide,-1
matter,1
good,3
please,1
hide,-1
cried,-2
hide,-1
please,1
hide,-1
please,1
help,2
hide,-1
mad,-3
no,-1
alive,1
wrong,-2
bad,-3
good,3
please,1
misunderstood,-2
want,1
problems,-2
share,1
love,3
like,2
alone,-2
regretting,-2
foolish,-2
foolish,-2
good,3
please,1
misunderstood,-2
want,1
problems,-2
share,1
love,3
like,2
alone,-2
regretting,-2
foolish,-2
foolish,-2
good,3
please,1
misunderstood,-2
good,3
please,1
misunderstood,-2
misunderstood,-2
misunderstood,-2
no,-1
no,-1
no,-1
no,-1
no,-1
no,-1
no,-1
no,-1
no,-1
no,-1
no,-1
upset,-2
goddamn,-3
upset,-2
goddamn,-3
pressure,-1
upset,-2
goddamn,-3
mercy,2
stopped,-1
trouble,-2
damn,-4
lazy,-1
crazy,-2
best,3
goddamn,-3
boycotts,-2
want,1
yes,1
lied,-2
clean,2
fine,2
like,2
stop,-1
die,-3
die,-3
like,2
trust,1
trouble,-2
tragedy,-2
goddamn,-3
swear,-2
lonely,-2
swears,-2
blame,-2
crying,-2
